"COU","Country","GOV","Government","TAX","Tax","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2011","2011","ARS","Argentine Peso","6","Millions",,,224812.922,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2012","2012","ARS","Argentine Peso","6","Millions",,,281589.22,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2013","2013","ARS","Argentine Peso","6","Millions",,,381629.765,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2014","2014","ARS","Argentine Peso","6","Millions",,,515089.568,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2015","2015","ARS","Argentine Peso","6","Millions",,,671297.209,,
"ARG","Argentina","NES","Total","5110","5110 General taxes","TAXNAT","Tax revenue in national currency","2016","2016","ARS","Argentine Peso","6","Millions",,,901798.593,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,1866.271,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,4616.574,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,4971.539,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,4488.202,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,4590.72,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,4217.591,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1996","1996","ARS","Argentine Peso","6","Millions",,,4568.863,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,6119.442,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,5928.474,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,5713.846,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,5849.875,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2001","2001","ARS","Argentine Peso","6","Millions",,,5619.94,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2002","2002","ARS","Argentine Peso","6","Millions",,,6772.332,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2003","2003","ARS","Argentine Peso","6","Millions",,,7819.252,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2004","2004","ARS","Argentine Peso","6","Millions",,,9246.861,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2005","2005","ARS","Argentine Peso","6","Millions",,,10609.249,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2006","2006","ARS","Argentine Peso","6","Millions",,,11664.911,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2007","2007","ARS","Argentine Peso","6","Millions",,,13164.035,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2008","2008","ARS","Argentine Peso","6","Millions",,,16432.216,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2009","2009","ARS","Argentine Peso","6","Millions",,,19522.916,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2010","2010","ARS","Argentine Peso","6","Millions",,,26207.55,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2011","2011","ARS","Argentine Peso","6","Millions",,,30851.119,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2012","2012","ARS","Argentine Peso","6","Millions",,,40800.263,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2013","2013","ARS","Argentine Peso","6","Millions",,,49680.032,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2014","2014","ARS","Argentine Peso","6","Millions",,,69977.272,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2015","2015","ARS","Argentine Peso","6","Millions",,,92349.295,,
"ARG","Argentina","NES","Total","5121","5121 Excises","TAXNAT","Tax revenue in national currency","2016","2016","ARS","Argentine Peso","6","Millions",,,129789.88,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1996","1996","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2001","2001","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2002","2002","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2003","2003","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2004","2004","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2005","2005","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2006","2006","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2007","2007","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2008","2008","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2009","2009","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2010","2010","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2011","2011","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2012","2012","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2013","2013","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2014","2014","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2015","2015","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5122","5122 Profits of fiscal monopolies","TAXNAT","Tax revenue in national currency","2016","2016","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,218.763,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,836.975,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,1974.931,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,2440.439,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,2768.281,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,1977.5,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1996","1996","ARS","Argentine Peso","6","Millions",,,2225.059,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,2827.021,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,2775.925,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,2277.745,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,1976.251,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2001","2001","ARS","Argentine Peso","6","Millions",,,1574.901,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2002","2002","ARS","Argentine Peso","6","Millions",,,1307.565,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2003","2003","ARS","Argentine Peso","6","Millions",,,2288.67,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2004","2004","ARS","Argentine Peso","6","Millions",,,3250.453,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2005","2005","ARS","Argentine Peso","6","Millions",,,3876.563,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2006","2006","ARS","Argentine Peso","6","Millions",,,5138.997,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2007","2007","ARS","Argentine Peso","6","Millions",,,7015.292,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2008","2008","ARS","Argentine Peso","6","Millions",,,8987.908,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2009","2009","ARS","Argentine Peso","6","Millions",,,7699.788,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2010","2010","ARS","Argentine Peso","6","Millions",,,11428.313,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2011","2011","ARS","Argentine Peso","6","Millions",,,14677.51,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2012","2012","ARS","Argentine Peso","6","Millions",,,16639.998,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2013","2013","ARS","Argentine Peso","6","Millions",,,23550.521,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2014","2014","ARS","Argentine Peso","6","Millions",,,30058.448,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2015","2015","ARS","Argentine Peso","6","Millions",,,35512.316,,
"ARG","Argentina","NES","Total","5123","5123 Customs and import duties","TAXNAT","Tax revenue in national currency","2016","2016","ARS","Argentine Peso","6","Millions",,,56364.649,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,162.715,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,256.466,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,273.919,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,304.002,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,359.442,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,375.758,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1996","1996","ARS","Argentine Peso","6","Millions",,,374.964,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,407.653,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,428.795,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,1092.511,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,1233.461,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2001","2001","ARS","Argentine Peso","6","Millions",,,753.988,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2002","2002","ARS","Argentine Peso","6","Millions",,,270.072,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2003","2003","ARS","Argentine Peso","6","Millions",,,208.75,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2004","2004","ARS","Argentine Peso","6","Millions",,,235.515,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2005","2005","ARS","Argentine Peso","6","Millions",,,150.36,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2006","2006","ARS","Argentine Peso","6","Millions",,,455.231,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2007","2007","ARS","Argentine Peso","6","Millions",,,674.217,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2008","2008","ARS","Argentine Peso","6","Millions",,,769.109,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2009","2009","ARS","Argentine Peso","6","Millions",,,1190.275,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2010","2010","ARS","Argentine Peso","6","Millions",,,1428.73,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2011","2011","ARS","Argentine Peso","6","Millions",,,1820.262,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2012","2012","ARS","Argentine Peso","6","Millions",,,2226.748,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2013","2013","ARS","Argentine Peso","6","Millions",,,2676.808,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2014","2014","ARS","Argentine Peso","6","Millions",,,3533.315,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2015","2015","ARS","Argentine Peso","6","Millions",,,4420.132,,
"ARG","Argentina","NES","Total","5126","5126 Taxes on specific services","TAXNAT","Tax revenue in national currency","2016","2016","ARS","Argentine Peso","6","Millions",,,5782.194,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,8.403,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,1.076,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,0.282,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,0.157,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,0.031,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2001","2001","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2002","2002","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2003","2003","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2004","2004","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2005","2005","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2006","2006","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2007","2007","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2008","2008","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2009","2009","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2010","2010","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2011","2011","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2012","2012","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2013","2013","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2014","2014","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2015","2015","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5128","5128 Other taxes","TAXNAT","Tax revenue in national currency","2016","2016","ARS","Argentine Peso","6","Millions",,,0,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1990","1990","ARS","Argentine Peso","6","Millions",,,176.61,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1991","1991","ARS","Argentine Peso","6","Millions",,,474.206,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1992","1992","ARS","Argentine Peso","6","Millions",,,635.82,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1993","1993","ARS","Argentine Peso","6","Millions",,,732.469,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1994","1994","ARS","Argentine Peso","6","Millions",,,1020.347,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1995","1995","ARS","Argentine Peso","6","Millions",,,908.032,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1996","1996","ARS","Argentine Peso","6","Millions",,,962.253,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1997","1997","ARS","Argentine Peso","6","Millions",,,925.329,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1998","1998","ARS","Argentine Peso","6","Millions",,,986.891,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","1999","1999","ARS","Argentine Peso","6","Millions",,,916.343,,
"ARG","Argentina","NES","Total","5200","5200 Taxes on use of goods and perform activities","TAXNAT","Tax revenue in national currency","2000","2000","ARS","Argentine Peso","6","Millions",,,833.053,,
