"COU","Country","GOV","Level of government","VAR","Indicator","TAX","Revenue category","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1997","1997","IDR","Rupiah","9","Billions",,,4262.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1998","1998","IDR","Rupiah","9","Billions",,,5101.2,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1999","1999","IDR","Rupiah","9","Billions",,,7732.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2000","2000","IDR","Rupiah","9","Billions",,,11286.6,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2001","2001","IDR","Rupiah","9","Billions",,,17394.1,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2002","2002","IDR","Rupiah","9","Billions",,,23188.6,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2003","2003","IDR","Rupiah","9","Billions",,,26277.2,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2004","2004","IDR","Rupiah","9","Billions",,,29172.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2005","2005","IDR","Rupiah","9","Billions",,,33256.2,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2006","2006","IDR","Rupiah","9","Billions",,,37772.1,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2007","2007","IDR","Rupiah","9","Billions",,,44679.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2008","2008","IDR","Rupiah","9","Billions",,,51251.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2009","2009","IDR","Rupiah","9","Billions",,,56718.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2010","2010","IDR","Rupiah","9","Billions",,,66165.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2011","2011","IDR","Rupiah","9","Billions",,,77010,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2012","2012","IDR","Rupiah","9","Billions",,,95027.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2013","2013","IDR","Rupiah","9","Billions",,,108452.1,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2014","2014","IDR","Rupiah","9","Billions",,,118085.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2015","2015","IDR","Rupiah","9","Billions",,,144641.3,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","1997","1997","IDR","Rupiah","9","Billions",,,2578.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","1998","1998","IDR","Rupiah","9","Billions",,,2998.7,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","1999","1999","IDR","Rupiah","9","Billions",,,2305.6,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2000","2000","IDR","Rupiah","9","Billions",,,6697.1,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2001","2001","IDR","Rupiah","9","Billions",,,9025.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2002","2002","IDR","Rupiah","9","Billions",,,10344.4,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2003","2003","IDR","Rupiah","9","Billions",,,10884.6,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2004","2004","IDR","Rupiah","9","Billions",,,12444,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2005","2005","IDR","Rupiah","9","Billions",,,14920.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2006","2006","IDR","Rupiah","9","Billions",,,12140.4,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2007","2007","IDR","Rupiah","9","Billions",,,16699.4,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2008","2008","IDR","Rupiah","9","Billions",,,22763.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2009","2009","IDR","Rupiah","9","Billions",,,18105.5,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2010","2010","IDR","Rupiah","9","Billions",,,20016.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2011","2011","IDR","Rupiah","9","Billions",,,25265.9,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2012","2012","IDR","Rupiah","9","Billions",,,28418.4,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2013","2013","IDR","Rupiah","9","Billions",,,31621.3,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2014","2014","IDR","Rupiah","9","Billions",,,32319.1,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","2015","2015","IDR","Rupiah","9","Billions",,,31212.8,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","1997","1997","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","1998","1998","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","1999","1999","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2000","2000","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2001","2001","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2002","2002","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2003","2003","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2004","2004","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2005","2005","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2006","2006","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2007","2007","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2008","2008","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2009","2009","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2010","2010","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2011","2011","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2012","2012","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2013","2013","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2014","2014","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5126","5126 Taxes on specific services","2015","2015","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","1997","1997","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","1998","1998","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","1999","1999","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2000","2000","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2001","2001","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2002","2002","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2003","2003","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2004","2004","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2005","2005","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2006","2006","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2007","2007","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2008","2008","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2009","2009","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2010","2010","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2011","2011","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2012","2012","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2013","2013","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2014","2014","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5128","5128 Other taxes not included within 5121 to 5127 inclusive","2015","2015","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","1997","1997","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","1998","1998","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","1999","1999","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2000","2000","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2001","2001","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2002","2002","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2003","2003","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2004","2004","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2005","2005","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2006","2006","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2007","2007","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2008","2008","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2009","2009","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2010","2010","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2011","2011","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2012","2012","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2013","2013","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2014","2014","IDR","Rupiah","9","Billions",,,0,,
"IDN","Indonesia","NES","Total","TAXNAT","Tax revenue in national currency","5200","5200 Taxes on use of goods and perform activities","2015","2015","IDR","Rupiah","9","Billions",,,0,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1990","1990","MYR","Malaysian Ringgit","9","Billions",,,2.4,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1991","1991","MYR","Malaysian Ringgit","9","Billions",,,2.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1992","1992","MYR","Malaysian Ringgit","9","Billions",,,3.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1993","1993","MYR","Malaysian Ringgit","9","Billions",,,3.5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1994","1994","MYR","Malaysian Ringgit","9","Billions",,,4.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1995","1995","MYR","Malaysian Ringgit","9","Billions",,,4.9,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1996","1996","MYR","Malaysian Ringgit","9","Billions",,,5.5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1997","1997","MYR","Malaysian Ringgit","9","Billions",,,6.2,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1998","1998","MYR","Malaysian Ringgit","9","Billions",,,3.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","1999","1999","MYR","Malaysian Ringgit","9","Billions",,,4.5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2000","2000","MYR","Malaysian Ringgit","9","Billions",,,6,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2001","2001","MYR","Malaysian Ringgit","9","Billions",,,7.4,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2002","2002","MYR","Malaysian Ringgit","9","Billions",,,9.2,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2003","2003","MYR","Malaysian Ringgit","9","Billions",,,8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2004","2004","MYR","Malaysian Ringgit","9","Billions",,,6.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2005","2005","MYR","Malaysian Ringgit","9","Billions",,,7.7,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2006","2006","MYR","Malaysian Ringgit","9","Billions",,,6.5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2007","2007","MYR","Malaysian Ringgit","9","Billions",,,6.6,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2008","2008","MYR","Malaysian Ringgit","9","Billions",,,8.4,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2009","2009","MYR","Malaysian Ringgit","9","Billions",,,8.6,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2010","2010","MYR","Malaysian Ringgit","9","Billions",,,8.2,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2011","2011","MYR","Malaysian Ringgit","9","Billions",,,8.6,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2012","2012","MYR","Malaysian Ringgit","9","Billions",,,9.5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2013","2013","MYR","Malaysian Ringgit","9","Billions",,,10.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2014","2014","MYR","Malaysian Ringgit","9","Billions",,,10.9,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5110","5110 General taxes on goods and services","2015","2015","MYR","Malaysian Ringgit","9","Billions",,,32.2,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1990","1990","MYR","Malaysian Ringgit","9","Billions",,,2.3,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1991","1991","MYR","Malaysian Ringgit","9","Billions",,,2.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1992","1992","MYR","Malaysian Ringgit","9","Billions",,,3.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1993","1993","MYR","Malaysian Ringgit","9","Billions",,,3.7,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1994","1994","MYR","Malaysian Ringgit","9","Billions",,,4.3,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1995","1995","MYR","Malaysian Ringgit","9","Billions",,,5.3,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1996","1996","MYR","Malaysian Ringgit","9","Billions",,,5.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1997","1997","MYR","Malaysian Ringgit","9","Billions",,,6.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1998","1998","MYR","Malaysian Ringgit","9","Billions",,,3.6,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","1999","1999","MYR","Malaysian Ringgit","9","Billions",,,4.7,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2000","2000","MYR","Malaysian Ringgit","9","Billions",,,3.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2001","2001","MYR","Malaysian Ringgit","9","Billions",,,4.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2002","2002","MYR","Malaysian Ringgit","9","Billions",,,4.7,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2003","2003","MYR","Malaysian Ringgit","9","Billions",,,5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2004","2004","MYR","Malaysian Ringgit","9","Billions",,,6.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2005","2005","MYR","Malaysian Ringgit","9","Billions",,,9.3,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2006","2006","MYR","Malaysian Ringgit","9","Billions",,,8.6,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2007","2007","MYR","Malaysian Ringgit","9","Billions",,,9,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2008","2008","MYR","Malaysian Ringgit","9","Billions",,,10.7,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2009","2009","MYR","Malaysian Ringgit","9","Billions",,,10.1,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2010","2010","MYR","Malaysian Ringgit","9","Billions",,,11.8,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2011","2011","MYR","Malaysian Ringgit","9","Billions",,,11.5,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2012","2012","MYR","Malaysian Ringgit","9","Billions",,,12.2,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2013","2013","MYR","Malaysian Ringgit","9","Billions",,,12.2,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2014","2014","MYR","Malaysian Ringgit","9","Billions",,,12.9,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5121","5121 Excises","2015","2015","MYR","Malaysian Ringgit","9","Billions",,,11.9,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","1990","1990","MYR","Malaysian Ringgit","9","Billions",,,3.4,,
"MYS","Malaysia","NES","Total","TAXNAT","Tax revenue in national currency","5123","5123 Customs and import duties","1991","1991","MYR","Malaysian Ringgit","9","Billions",,,4.1,,
